file_prod_date,m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,ann_rpt_flag,qtr_rpt_flag,last_rev_date,sales_mean_est,sales_median_est,sales_cnt_est,sales_high_est,sales_low_est,sales_std_dev_est,sales_pct_chg_est_1w,sales_cnt_est_rev_up_1w,sales_cnt_est_rev_down_1w,sales_pct_chg_est_1m,sales_cnt_est_rev_up_1m,sales_cnt_est_rev_down_1m,sales_pct_chg_est_3m,sales_cnt_est_rev_up_3m,sales_cnt_est_rev_down_3m
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2021-10-31,A,,2021,4,2021,4,1,1,2021-02-17,5893.371,5887.0,6,5930.0,5882.0,18.322,0.0,0,0,3.168,6,0,3.688,6,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2022-10-31,A,,2022,4,2022,4,1,1,2021-02-17,6245.8,6247.9,6,6285.0,6207.0,35.704,0.0,0,0,3.022,6,0,3.534,6,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2023-10-31,A,,2023,4,2023,4,1,1,2021-02-17,6657.99,6668.97,3,6670.0,6635.0,19.916,0.0,0,0,2.835,3,0,3.261,3,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2021-01-31,Q,,2021,1,2021,1,1,1,2021-01-27,1431.69,1423.0,6,1476.0,1411.14,23.321,0.0,0,0,0.0,0,0,0.538,1,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2021-04-30,Q,,2021,2,2021,2,1,1,2021-02-17,1387.451,1388.5,6,1393.0,1380.0,4.89,0.0,0,0,2.089,5,1,3.433,6,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2021-07-31,Q,,2021,3,2021,3,1,1,2021-02-17,1402.941,1410.5,6,1421.65,1372.0,21.442,0.0,0,0,1.477,5,1,1.993,6,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2021-10-31,Q,,2021,4,2021,4,1,1,2021-02-17,1554.976,1555.5,6,1580.0,1529.86,22.939,0.0,0,0,1.018,4,1,0.789,3,2
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2022-01-31,Q,,2022,1,2022,1,1,1,2021-02-17,1599.0,1614.0,3,1633.0,1550.0,43.485,0.0,0,0,5.174,3,0,5.777,3,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2022-04-30,Q,,2022,2,2022,2,1,1,2021-02-17,1476.0,1467.0,3,1498.0,1463.0,19.157,0.0,0,0,1.536,2,1,4.409,3,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2022-07-31,Q,,2022,3,2022,3,1,1,2021-02-17,1487.666,1476.0,3,1539.0,1448.0,46.608,0.0,0,0,0.972,3,0,2.104,3,0
2021-03-11,A2,A,AGILENT TECH,"Agilent Technologies, Inc.",NYSE,USD,2022-10-31,Q,,2022,4,2022,4,1,1,2021-02-17,1651.666,1655.0,3,1659.0,1641.0,9.451,0.0,0,0,0.875,2,1,0.568,2,1
2021-03-11,AA2,AA,ALCOA CORP,Alcoa Corp.,NYSE,USD,2021-12-31,A,,2021,4,2021,4,1,1,2021-02-02,9864.272,9687.69,4,10608.51,9473.2,513.068,0.0,0,0,0.0,0,0,3.786,4,0
2021-03-11,AA2,AA,ALCOA CORP,Alcoa Corp.,NYSE,USD,2022-12-31,A,,2022,4,2022,4,1,1,2021-02-02,9225.513,9083.82,3,9995.0,8597.72,709.334,0.0,0,0,0.0,0,0,-3.424,1,2
2021-03-11,AA2,AA,ALCOA CORP,Alcoa Corp.,NYSE,USD,2023-12-31,A,,2023,4,2023,4,1,1,2021-02-02,9307.363,9425.01,3,10003.0,8494.08,761.308,0.0,0,0,0.0,0,0,,0,0
2021-03-11,AA2,AA,ALCOA CORP,Alcoa Corp.,NYSE,USD,2021-03-31,Q,,2021,1,2021,1,1,1,2021-02-02,2591.295,2591.295,2,2635.0,2547.59,61.808,0.0,0,0,0.0,0,0,15.358,1,0
